,_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
93,87194ad41ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,87194ad42ffffff,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,3.0,4.0,22.0,0.0,0.0
95,87194ad43ffffff,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,6.0,0.0,0.0
96,87194ad44ffffff,43.0,1.0,1.0,0.0,11.0,10.0,0.0,3.0,4.0,1.0,4.0,16.0,66.0,11.0,7.0,54.0,1.0,1.0
97,87194ad45ffffff,12.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,1.0,13.0,0.0,0.0
98,87194ad46ffffff,49.0,1.0,0.0,0.0,7.0,14.0,0.0,5.0,10.0,5.0,3.0,22.0,66.0,5.0,8.0,50.0,0.0,4.0
99,87194ad4effffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,87194ad50ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,5.0,14.0,0.0,0.0
101,87194ad51ffffff,12.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,32.0,3.0,5.0,11.0,0.0,1.0
102,87194ad52ffffff,69.0,6.0,1.0,0.0,17.0,19.0,1.0,2.0,17.0,2.0,6.0,37.0,98.0,15.0,5.0,76.0,2.0,6.0
103,87194ad53ffffff,19.0,0.0,0.0,0.0,7.0,4.0,0.0,1.0,7.0,0.0,0.0,4.0,35.0,8.0,5.0,15.0,1.0,0.0
104,87194ad54ffffff,28.0,0.0,1.0,0.0,12.0,7.0,1.0,6.0,6.0,5.0,5.0,30.0,84.0,20.0,18.0,43.0,0.0,6.0
105,87194ad55ffffff,19.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,17.0,2.0,12.0,30.0,0.0,2.0
106,87194ad56ffffff,34.0,0.0,0.0,0.0,20.0,26.0,4.0,12.0,13.0,4.0,11.0,59.0,169.0,15.0,10.0,74.0,4.0,6.0
107,87194ad58ffffff,6.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,15.0,3.0,0.0,9.0,0.0,0.0
108,87194ad59ffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
109,87194ad5affffff,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0
110,87194ad5cffffff,28.0,0.0,0.0,0.0,5.0,7.0,2.0,4.0,0.0,1.0,1.0,7.0,46.0,9.0,2.0,21.0,0.0,6.0
111,87194ad5dffffff,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0
112,87194ad5effffff,33.0,0.0,0.0,0.0,7.0,18.0,0.0,0.0,8.0,2.0,3.0,26.0,138.0,6.0,8.0,51.0,1.0,1.0
113,87194ad60ffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
114,87194ad62ffffff,45.0,0.0,0.0,0.0,11.0,7.0,0.0,1.0,3.0,0.0,0.0,8.0,75.0,10.0,8.0,49.0,5.0,3.0
115,87194ad63ffffff,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,5.0,2.0,16.0,0.0,1.0
116,87194ad64ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
117,87194ad66ffffff,29.0,0.0,1.0,0.0,4.0,3.0,2.0,0.0,3.0,0.0,1.0,13.0,55.0,3.0,7.0,30.0,0.0,3.0
118,87194ad70ffffff,49.0,1.0,3.0,0.0,23.0,22.0,0.0,21.0,12.0,4.0,13.0,54.0,153.0,16.0,11.0,71.0,1.0,3.0
119,87194ad71ffffff,86.0,2.0,0.0,0.0,24.0,41.0,2.0,24.0,18.0,6.0,22.0,103.0,225.0,20.0,6.0,119.0,1.0,10.0
120,87194ad72ffffff,33.0,0.0,2.0,0.0,24.0,26.0,1.0,14.0,16.0,3.0,10.0,39.0,215.0,27.0,7.0,68.0,3.0,9.0
121,87194ad73ffffff,35.0,1.0,3.0,0.0,14.0,24.0,4.0,12.0,7.0,6.0,5.0,32.0,146.0,11.0,11.0,66.0,1.0,3.0
122,87194ad74ffffff,28.0,0.0,0.0,0.0,15.0,15.0,1.0,11.0,0.0,6.0,2.0,19.0,83.0,6.0,22.0,45.0,0.0,8.0
123,87194ad75ffffff,85.0,1.0,2.0,0.0,22.0,28.0,1.0,10.0,22.0,4.0,10.0,98.0,278.0,11.0,7.0,109.0,2.0,6.0
124,87194ad76ffffff,43.0,3.0,2.0,0.0,18.0,19.0,0.0,5.0,8.0,4.0,3.0,21.0,111.0,9.0,11.0,75.0,1.0,4.0
125,87194ad80ffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,5.0,4.0,0.0,1.0
126,87194ad81ffffff,22.0,0.0,0.0,0.0,4.0,7.0,0.0,1.0,4.0,0.0,0.0,13.0,17.0,8.0,10.0,28.0,0.0,3.0
127,87194ad82ffffff,40.0,0.0,15.0,0.0,23.0,33.0,5.0,16.0,9.0,9.0,10.0,46.0,133.0,31.0,35.0,71.0,3.0,11.0
128,87194ad83ffffff,24.0,0.0,1.0,0.0,10.0,15.0,2.0,1.0,1.0,0.0,0.0,9.0,50.0,8.0,22.0,62.0,2.0,2.0
129,87194ad84ffffff,47.0,3.0,15.0,0.0,41.0,58.0,2.0,35.0,24.0,18.0,29.0,155.0,388.0,61.0,32.0,145.0,3.0,14.0
130,87194ad85ffffff,45.0,0.0,2.0,0.0,22.0,30.0,0.0,6.0,11.0,2.0,4.0,36.0,95.0,15.0,22.0,78.0,1.0,7.0
131,87194ad86ffffff,64.0,8.0,4.0,0.0,46.0,86.0,9.0,68.0,29.0,38.0,51.0,202.0,531.0,46.0,37.0,179.0,4.0,38.0
132,87194ad88ffffff,44.0,1.0,0.0,0.0,37.0,49.0,0.0,30.0,15.0,4.0,13.0,97.0,206.0,37.0,17.0,123.0,4.0,13.0
133,87194ad89ffffff,54.0,0.0,0.0,0.0,31.0,35.0,2.0,30.0,33.0,5.0,12.0,91.0,402.0,17.0,7.0,129.0,7.0,10.0
134,87194ad8affffff,39.0,1.0,3.0,0.0,26.0,16.0,1.0,3.0,4.0,2.0,2.0,26.0,136.0,30.0,8.0,101.0,0.0,6.0
135,87194ad8bffffff,16.0,2.0,1.0,0.0,11.0,19.0,1.0,6.0,8.0,2.0,8.0,41.0,114.0,20.0,7.0,67.0,1.0,4.0
136,87194ad8cffffff,62.0,1.0,0.0,0.0,35.0,55.0,2.0,16.0,17.0,5.0,12.0,68.0,244.0,48.0,10.0,126.0,1.0,14.0
137,87194ad8dffffff,65.0,3.0,0.0,0.0,28.0,33.0,1.0,8.0,15.0,1.0,7.0,54.0,192.0,32.0,18.0,95.0,2.0,8.0
138,87194ad8effffff,49.0,1.0,1.0,0.0,23.0,38.0,2.0,19.0,12.0,5.0,13.0,75.0,237.0,27.0,13.0,103.0,2.0,5.0
139,87194ad90ffffff,83.0,4.0,0.0,0.0,57.0,76.0,16.0,53.0,63.0,15.0,37.0,235.0,528.0,39.0,18.0,167.0,15.0,14.0
140,87194ad91ffffff,61.0,2.0,26.0,0.0,57.0,79.0,6.0,51.0,29.0,27.0,28.0,127.0,419.0,46.0,36.0,141.0,6.0,22.0
