ORIGIN_CODE,DESTINATION_CODE,flows
87194ac01ffffff,87194ad26ffffff,4.0
87194ac01ffffff,87194ad28ffffff,6.0
87194ac01ffffff,87194ad29ffffff,7.0
87194ac01ffffff,87194ad2affffff,10.0
87194ac01ffffff,87194ad2bffffff,9.0
87194ac01ffffff,87194ad2cffffff,5.0
87194ac01ffffff,87194ad2dffffff,6.0
87194ac01ffffff,87194ad2effffff,7.0
87194ac01ffffff,87194ad30ffffff,10.0
87194ac01ffffff,87194ad31ffffff,7.0
87194ac01ffffff,87194ad32ffffff,11.0
87194ac01ffffff,87194ad33ffffff,10.0
87194ac01ffffff,87194ad34ffffff,6.0
87194ac01ffffff,87194ad35ffffff,6.0
87194ac01ffffff,87194ad36ffffff,7.0
87194ac01ffffff,87194ad40ffffff,3.0
87194ac01ffffff,87194ad41ffffff,1.0
87194ac01ffffff,87194ad42ffffff,8.0
87194ac01ffffff,87194ad43ffffff,4.0
87194ac01ffffff,87194ad44ffffff,7.0
87194ac01ffffff,87194ad45ffffff,3.0
87194ac01ffffff,87194ad46ffffff,10.0
87194ac01ffffff,87194ad4effffff,1.0
87194ac01ffffff,87194ad50ffffff,15.0
87194ac01ffffff,87194ad51ffffff,13.0
87194ac01ffffff,87194ad52ffffff,75.0
87194ac01ffffff,87194ad53ffffff,32.0
87194ac01ffffff,87194ad54ffffff,19.0
87194ac01ffffff,87194ad55ffffff,12.0
87194ac01ffffff,87194ad56ffffff,41.0
87194ac01ffffff,87194ad58ffffff,9.0
87194ac01ffffff,87194ad59ffffff,2.0
87194ac01ffffff,87194ad5affffff,13.0
87194ac01ffffff,87194ad5cffffff,13.0
87194ac01ffffff,87194ad5dffffff,3.0
87194ac01ffffff,87194ad5effffff,38.0
87194ac01ffffff,87194ad60ffffff,1.0
87194ac01ffffff,87194ad62ffffff,5.0
87194ac01ffffff,87194ad63ffffff,2.0
87194ac01ffffff,87194ad64ffffff,1.0
87194ac01ffffff,87194ad66ffffff,3.0
87194ac01ffffff,87194ad70ffffff,10.0
87194ac01ffffff,87194ad71ffffff,12.0
87194ac01ffffff,87194ad72ffffff,14.0
87194ac01ffffff,87194ad73ffffff,13.0
87194ac01ffffff,87194ad74ffffff,6.0
87194ac01ffffff,87194ad75ffffff,8.0
87194ac01ffffff,87194ad76ffffff,9.0
87194ac01ffffff,87194ad80ffffff,1.0
87194ac01ffffff,87194ad81ffffff,4.0
87194ac01ffffff,87194ad82ffffff,4.0
87194ac01ffffff,87194ad83ffffff,5.0
87194ac01ffffff,87194ad84ffffff,6.0
87194ac01ffffff,87194ad85ffffff,6.0
87194ac01ffffff,87194ad86ffffff,6.0
87194ac01ffffff,87194ad88ffffff,20.0
87194ac01ffffff,87194ad89ffffff,34.0
87194ac01ffffff,87194ad8affffff,10.0
87194ac01ffffff,87194ad8bffffff,16.0
87194ac01ffffff,87194ad8cffffff,15.0
87194ac01ffffff,87194ad8dffffff,22.0
87194ac01ffffff,87194ad8effffff,10.0
87194ac01ffffff,87194ad90ffffff,4.0
87194ac01ffffff,87194ad91ffffff,5.0
87194ac01ffffff,87194ad92ffffff,2.0
87194ac01ffffff,87194ad93ffffff,3.0
87194ac01ffffff,87194ad94ffffff,2.0
87194ac01ffffff,87194ad95ffffff,4.0
87194ac01ffffff,87194ad96ffffff,2.0
87194ac01ffffff,87194ad98ffffff,3.0
87194ac01ffffff,87194ad99ffffff,10.0
87194ac01ffffff,87194ad9affffff,3.0
87194ac01ffffff,87194ad9bffffff,1.0
87194ac01ffffff,87194ad9cffffff,6.0
87194ac01ffffff,87194ad9dffffff,14.0
87194ac01ffffff,87194ad9effffff,5.0
87194ac01ffffff,87194ada0ffffff,8.0
87194ac01ffffff,87194ada1ffffff,10.0
87194ac01ffffff,87194ada2ffffff,6.0
87194ac01ffffff,87194ada3ffffff,7.0
87194ac01ffffff,87194ada4ffffff,8.0
87194ac01ffffff,87194ada5ffffff,10.0
87194ac01ffffff,87194ada6ffffff,5.0
87194ac01ffffff,87194ada8ffffff,16.0
87194ac01ffffff,87194ada9ffffff,30.0
87194ac01ffffff,87194adaaffffff,10.0
87194ac01ffffff,87194adabffffff,26.0
87194ac01ffffff,87194adacffffff,13.0
87194ac01ffffff,87194adadffffff,21.0
87194ac01ffffff,87194adaeffffff,11.0
87194ac01ffffff,87194adb0ffffff,4.0
